Site,substrate,,
Dates,29/03/2023,31/03/2023,
Global Data,Number of Questions,Unanswered Questions,
,18,4,
Team Data,Questions Answered,Score,Accepted
,4,7,2
Individual Data,,,
Member,227,Answers,2
Member,16,Answers,1
Member,73,Answers,1
Ratios,Answered by Team,Unanswered,Answered by Team over answered
%,22.22222222222222,22.22222222222222,28.57142857142857
Response Time,Average,Team Average,
,42722.28571428572,32063.75,
Total Tags,Tag,Number,
,ink,6,
,polkadot,5,
,substrate-node-template,5,
Unanswered Tags,Tag,Number,
,consensus,2,
,inherent,2,
,block-production,1,
